DATE,TIME,TRADE,VOLUME
06.10.2010,08:00:00,3406.5,57
06.10.2010,08:00:00,3405.5,2
06.10.2010,08:00:00,3405.5,2
06.10.2010,08:00:00,3406.5,1
06.10.2010,08:00:00,3405,2
06.10.2010,08:00:01,3406.5,2
06.10.2010,08:00:01,3407,1
06.10.2010,08:00:02,3407,1
06.10.2010,08:00:02,3407,1
06.10.2010,08:00:02,3405,1
06.10.2010,08:00:05,3407,1
06.10.2010,08:00:07,3405.5,1
06.10.2010,08:00:08,3404.5,1
06.10.2010,08:00:08,3404,1
06.10.2010,08:00:09,3404,1
06.10.2010,08:00:09,3405.5,1
06.10.2010,08:00:11,3404,2
06.10.2010,08:00:15,3404,2
06.10.2010,08:00:15,3404.5,1
06.10.2010,08:00:15,3403.5,1
06.10.2010,08:00:20,3403.5,1
06.10.2010,08:00:24,3403,1
06.10.2010,08:00:26,3402.5,1
06.10.2010,08:00:26,3402,4
06.10.2010,08:00:26,3402,10
06.10.2010,08:00:28,3401.5,2
06.10.2010,08:00:28,3402,4
06.10.2010,08:00:31,3403,15
06.10.2010,08:00:35,3402,1
06.10.2010,08:00:36,3403,1
06.10.2010,08:00:36,3403,1
06.10.2010,08:00:38,3403.5,1
06.10.2010,08:00:41,3404,7
06.10.2010,08:00:41,3404.5,3
06.10.2010,08:00:42,3404,1
06.10.2010,08:00:42,3403.5,2
06.10.2010,08:00:42,3403.5,3
06.10.2010,08:00:42,3403,1
06.10.2010,08:00:45,3403,3
06.10.2010,08:00:46,3403,3
06.10.2010,08:00:50,3402.5,1
06.10.2010,08:00:54,3402,1
06.10.2010,08:00:56,3402,6
06.10.2010,08:00:56,3401.5,1
06.10.2010,08:00:57,3402.5,3
06.10.2010,08:00:58,3402.5,3
06.10.2010,08:01:03,3402,1
06.10.2010,08:01:03,3402,4
06.10.2010,08:01:03,3401.5,1
06.10.2010,08:01:04,3401.5,2
06.10.2010,08:01:04,3401.5,1
06.10.2010,08:01:05,3401.5,2
06.10.2010,08:01:05,3401.5,3
06.10.2010,08:01:05,3401,2
06.10.2010,08:01:11,3402,1
06.10.2010,08:01:11,3401,2
06.10.2010,08:01:13,3401.5,2
06.10.2010,08:01:13,3401.5,1
06.10.2010,08:01:20,3402,1
06.10.2010,08:01:21,3401.5,1
06.10.2010,08:01:26,3401.5,8
06.10.2010,08:01:26,3402,2
06.10.2010,08:01:29,3401.5,1
06.10.2010,08:01:32,3401.5,2
06.10.2010,08:01:32,3402,3
06.10.2010,08:01:32,3402.5,1
06.10.2010,08:01:35,3402.5,1
06.10.2010,08:01:35,3402.5,1
06.10.2010,08:01:36,3402,1
06.10.2010,08:01:37,3402,1
06.10.2010,08:01:37,3402,1
06.10.2010,08:01:39,3402.5,1
06.10.2010,08:01:40,3402.5,2
06.10.2010,08:01:50,3402.5,1
06.10.2010,08:01:51,3402,1
06.10.2010,08:01:51,3401.5,9
06.10.2010,08:01:56,3402.5,1
06.10.2010,08:01:57,3403,5
06.10.2010,08:01:57,3403,1
06.10.2010,08:01:57,3403,1
06.10.2010,08:01:57,3403,2
06.10.2010,08:01:57,3402.5,3
06.10.2010,08:01:59,3403,2
06.10.2010,08:02:00,3402.5,4
06.10.2010,08:02:00,3403.5,2
06.10.2010,08:02:01,3403.5,1
06.10.2010,08:02:01,3403.5,1
06.10.2010,08:02:04,3404,1
06.10.2010,08:02:06,3404.5,2
06.10.2010,08:02:06,3404,1
06.10.2010,08:02:06,3404,1
06.10.2010,08:02:09,3404,1
06.10.2010,08:02:11,3404,1
06.10.2010,08:02:11,3404.5,2
06.10.2010,08:02:12,3404,2
06.10.2010,08:02:19,3404.5,1
06.10.2010,08:02:20,3405,2
06.10.2010,08:02:20,3405,5
06.10.2010,08:02:21,3405,10
06.10.2010,08:02:22,3405,5
06.10.2010,08:02:24,3405,1
06.10.2010,08:02:26,3405,4
06.10.2010,08:02:28,3405,10
06.10.2010,08:02:28,3405,6
06.10.2010,08:02:37,3404.5,1
06.10.2010,08:02:38,3405,2
06.10.2010,08:02:38,3405.5,8
06.10.2010,08:02:39,3405,1
06.10.2010,08:02:39,3405,2
06.10.2010,08:02:44,3405.5,1
06.10.2010,08:02:45,3405.5,1
06.10.2010,08:02:46,3405.5,1
06.10.2010,08:02:50,3406,4
06.10.2010,08:02:50,3406,2
06.10.2010,08:02:58,3406,2
06.10.2010,08:02:59,3406,1
06.10.2010,08:03:01,3406,4
06.10.2010,08:03:03,3406,1
06.10.2010,08:03:05,3406,7
06.10.2010,08:03:05,3405.5,1
06.10.2010,08:03:06,3405.5,1
06.10.2010,08:03:06,3405.5,1
06.10.2010,08:03:10,3406,2
